Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time,soryy,wrong search word submit,please check your search word!,
GBP,902.65,874.6,909.3,913.32,905,2021.06.09 09:33:56,
GBP,902.58,874.53,909.23,913.25,905,2021.06.09 09:33:05,
GBP,902.65,874.6,909.3,913.32,905,2021.06.09 09:30:31,
GBP,903.03,874.97,909.68,913.7,905,2021.06.09 09:28:16,
GBP,903.09,875.03,909.74,913.76,905,2021.06.09 09:28:06,
GBP,903.03,874.97,909.68,913.7,905.94,2021.06.09 09:27:03,soryy,wrong search word submit,please check your search word!,
GBP,902.13,874.1,908.77,912.79,905.94,2021.06.08 21:14:52,
GBP,902.39,874.35,909.04,913.06,905.94,2021.06.08 21:08:26,
GBP,901.94,873.92,908.58,912.6,905.94,2021.06.08 20:54:47,
GBP,902.26,874.23,908.91,912.92,905.94,2021.06.08 20:36:15,
GBP,902.2,874.17,908.84,912.86,905.94,2021.06.08 20:26:55,
GBP,902.13,874.1,908.77,912.79,905.94,2021.06.08 20:15:28,
GBP,902.07,874.04,908.71,912.73,905.94,2021.06.08 20:15:24,
GBP,902.07,874.04,908.71,912.73,905.94,2021.06.08 19:22:50,
GBP,901.43,873.42,908.07,912.09,905.94,2021.06.08 18:34:31,
GBP,901.11,873.12,907.75,911.76,905.94,2021.06.08 18:27:48,
GBP,901.43,873.42,908.07,912.09,905.94,2021.06.08 18:18:50,
GBP,901.3,873.3,907.94,911.96,905.94,2021.06.08 17:58:26,
GBP,901.23,873.23,907.87,911.89,905.94,2021.06.08 17:57:47,
GBP,901.35,873.35,907.99,912.01,905.94,2021.06.08 17:45:38,
GBP,901.35,873.35,907.99,912.01,905.94,2021.06.08 17:44:18,
GBP,901.35,873.35,907.99,912.01,905.94,2021.06.08 17:41:38,
GBP,901.35,873.35,907.99,912.01,905.94,2021.06.08 17:39:32,
GBP,901.6,873.59,908.24,912.26,905.94,2021.06.08 17:36:32,
GBP,901.55,873.54,908.19,912.21,905.94,2021.06.08 17:18:55,
GBP,901.4,873.4,908.04,912.06,905.94,2021.06.08 17:08:54,
